"Reference(s)","Value","Qty","Part Number","Manufacturer","Description","Footprint","Datasheet"
"R25","0R","1","RMCF0402ZT0R00","Stackpole Electronics Inc","RES 0 OHM JUMPER 1/16W 0402","JetkovKiCADLib:R_0402_NoSilk","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf",""
"R28","9.1k","1","RMCF0402FT9K10","Stackpole Electronics Inc","RES 9.1K OHM 1% 1/16W 0402","JetkovKiCADLib:R_0402_NoSilk","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf",""
"R29","3k","1","RMCF0402FT3K00","Stackpole Electronics Inc","RES 3K OHM 1% 1/16W 0402","JetkovKiCADLib:R_0402_NoSilk","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf",""
"SW1","TL3301SPF160QJ","1","TL3301SPF160QJ","E-Switch","SWITCH TACTILE SPST-NO 0.05A 12V","JetkovKiCADLib:TL3301EF160QJ","https://www.digikey.ca/htmldatasheets/production/2066007/0/0/1/TL3301SPF160QJ-Drawing.pdf",""
"U1","BMD-300-A-R","1","BMD-300-A-R","U-Blox","RX TXRX MOD BLE 5.0 NORDIC SMD","JetkovKiCADLib:BMD-300-A-R","https://www.u-blox.com/sites/default/files/BMD-300_DataSheet_%28UBX-19033350%29.pdf",""
"U3","SHTC3","1","SHTC3","Sensirion AG","SENSOR HUMI/TEMP I2C 2% SMD","JetkovKiCADLib:SHTC3","https://media.digikey.com/pdf/Data%20Sheets/Sensirion%20PDFs/HT_DS_SHTC3_D1.pdf",""
"U4","SGP40","1","SGP40-D-R4","Sensirion AG","AIR QUALITY GAS SENSOR FOR VOC'S","JetkovKiCADLib:SGP40-D-R4","https://www.sensirion.com/fileadmin/user_upload/customers/sensirion/Dokumente/9_Gas_Sensors/Sensirion_Gas_Sensors_SGP40_Datasheet.pdf",""
"U5","MAX6071BAUT21T","1","MAX6071BAUT21+T","Maxim Integrated","IC VREF SERIES 0.08% SOT23-6","JetkovKiCADLib:MAX6071BAUT21","https://datasheets.maximintegrated.com/en/ds/MAX6070-MAX6071.pdf",""
"U6","LMP91000","1","LMP91000SD/NOPB","Texas Instruments","IC AFE 1 CHAN 8BIT 14WSON","JetkovKiCADLib:LMP91000","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flmp91000",""
"U7","110-902","1","110-902","SPEC Sensors, LLC","SENS GAS AIR QUAL ANALG CUR MOD","JetkovKiCADLib:SPEC-110-902","http://www.spec-sensors.com/wp-content/uploads/2016/06/RESP_IRR_20-C-Package-110-902.pdf",""
"U8","MCP6041T-I_OT","1","MCP6041T-I/OT","Microchip Technology","IC OPAMP GP 1 CIRCUIT SOT23-5","JetkovKiCADLib:MCP6041T-I_OT","http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en014787",""
"U9","RT6150AGQW","1","RT6150AGQW","Richtek USA Inc.","IC REG BCK BST ADJ 800MA 10WDFN","JetkovKiCADLib:RT6150AGQW","https://www.richtek.com/assets/product_file/RT6150A=RT6150B/DS6150AB-05.pdf",""
"U10","LP5907MFX-3.2","1","LP5907MFX-3.2/NOPB","Texas Instruments","IC REG LINEAR 3.2V 250MA SOT23-5","JetkovKiCADLib:LP5907MFX","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flp5907",""
"U11","MCP73831T-2ATI_OT","1","MCP73831T-2ATI/OT","Microchip Technology","IC BATT CNTL LI-ION 1CEL SOT23-5","JetkovKiCADLib:MCP7383xx-xxxx_OT","https://ww1.microchip.com/downloads/en/DeviceDoc/MCP73831-Family-Data-Sheet-DS20001984H.pdf",""
